"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"954","shinsei-bank",NA,2736,3567,6558,5125,5220,4000,4649,4212,3374,2881,"Banking","Japan","http://images.forbes.com/media/lists/companies/shinsei-bank_416x416.jpg"
"955","fiserv",NA,8844,9586,11399,14580,19004,21862,24851,29803,33351,69703,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/fiserv_416x416.jpg"
"956","strabag",NA,3417,3121,2448,2717,2299,3388,3849,4381,3542,2871,"Construction","Austria","http://images.forbes.com/media/lists/companies/strabag_416x416.jpg"
"957","union-bank-of-india",NA,3621,2401,2375,1423,1629,1376,1624,1533,1528,1244,"Banking","India","http://images.forbes.com/media/lists/companies/union-bank-of-india_416x416.jpg"
"958","interpublic-group",NA,6218,5264,5509,7336,9129,9428,9515,9353,8764,6616,"Media","United States","http://images.forbes.com/media/lists/companies/interpublic-group_416x416.jpg"
"959","analog-devices",NA,11430,11824,13931,16902,19564,18130,29211,34244,42279,40357,"Semiconductors","United States","http://images.forbes.com/media/lists/companies/analog-devices_416x416.jpg"
"960","couche-tard",NA,4758,5766,10227,15303,22979,24482,25856,23649,33683,31115,"Food Markets","Canada","http://images.forbes.com/media/lists/companies/couche-tard_416x416.jpg"
"961","shimizu",NA,3222,3135,2616,4144,5328,7207,7185,7933,6542,5985,"Construction","Japan","http://images.forbes.com/media/lists/companies/shimizu_416x416.jpg"
"962","goodyear",NA,3640,2974,3369,6727,7367,8653,8863,6125,4764,1668,"Consumer Durables","United States","http://images.forbes.com/media/lists/companies/goodyear_416x416.jpg"
"963","expeditors-international",NA,10262,9715,7938,7988,8995,8936,10077,12638,13822,12029,"Transportation","United States","http://images.forbes.com/media/lists/companies/expeditors-international_416x416.jpg"
"964","shin-kong-financial",NA,3636,2815,2672,2951,2794,2007,2843,4212,3433,3699,"Insurance","Taiwan","http://images.forbes.com/media/lists/companies/shin-kong-financial_416x416.jpg"
"965","aeroports-de-paris",NA,8546,7951,8449,12586,12185,11974,11935,21829,19950,9690,"Transportation","France","http://images.forbes.com/media/lists/companies/aeroports-de-paris_416x416.jpg"
"966","ctbc-financial",NA,8248,7358,8207,9456,10268,9137,11825,14359,12771,13113,"Banking","Taiwan","http://images.forbes.com/media/lists/companies/ctbc-financial_416x416.jpg"
"967","ball",NA,5920,6462,6876,7738,9920,10723,12645,13463,19552,21368,"Materials","United States","http://images.forbes.com/media/lists/companies/ball_416x416.jpg"
"968","chongqing-rural-bank",NA,7261,5032,4997,4148,6262,4928,6487,7096,6144,4966,"Banking","China","http://images.forbes.com/media/lists/companies/chongqing-rural-bank_416x416.jpg"
"969","experian",NA,11829,15353,18047,17991,16661,17374,18899,21591,25789,26982,"Business Services & Supplies","Ireland","http://images.forbes.com/media/lists/companies/experian_416x416.jpg"
"970","neste",NA,4360,3052,3819,5304,6763,8421,9973,20583,27795,27190,"Oil & Gas Operations","Finland","http://images.forbes.com/media/lists/companies/neste_416x416.jpg"
"971","vmware",NA,34725,45532,35945,48161,35663,24724,37786,58378,77200,54977,"IT Software & Services","United States","http://images.forbes.com/media/lists/companies/vmware_416x416.jpg"
"972","wr-berkley",NA,4268,4885,5853,5323,6367,6875,8600,9358,10679,10086,"Insurance","United States","http://images.forbes.com/media/lists/companies/wr-berkley_416x416.jpg"
"973","wuliangye-yibin",NA,18892,22424,14662,10537,14479,15668,23490,47220,59246,74730,"Food, Drink & Tobacco","China","http://images.forbes.com/media/lists/companies/wuliangye-yibin_416x416.jpg"
"974","zijin-mining-group",NA,16240,13391,10823,4640,13400,9706,10393,13821,11654.7,10475,"Materials","China","http://images.forbes.com/media/lists/companies/zijin-mining-group_416x416.jpg"
"975","intact-financial",NA,5466,7844,8414,8267,10009,9531,9254,10391,11562,13640,"Insurance","Canada","http://images.forbes.com/media/lists/companies/intact-financial_416x416.jpg"
"976","ambank-group",NA,6306,6112,6123,6626,5312,3564,3296,2832,3262,2085,"Banking","Malaysia","http://images.forbes.com/media/lists/companies/ambank-group_416x416.jpg"
"977","darden-restaurants",NA,6489,6745,6386,6792,8371,8022,10300,11182,14372,9584,"Hotels, Restaurants & Leisure","United States","http://images.forbes.com/media/lists/companies/darden-restaurants_416x416.jpg"
"978","medipal-holdings",NA,2185,2989,3216,3624,3051,4080,3677,4902,4907,4112,"Drugs & Biotechnology","Japan","http://images.forbes.com/media/lists/companies/medipal-holdings_416x416.jpg"
"979","link-reit",NA,6975,8274,12664,11365,14381,13939,15978,18529,24467,18476,"Diversified Financials","Hong Kong","http://images.forbes.com/media/lists/companies/link-reit_416x416.jpg"
"980","mgm-resorts",NA,6380,7049,6438,13011,10485,12529,16141,17706,14776,8292,"Hotels, Restaurants & Leisure","United States","http://images.forbes.com/media/lists/companies/mgm-resorts_416x416.jpg"
"981","obayashi",NA,3057,3207,3557,4174,4672,7176,6744,8230,6914,6389,"Construction","Japan","http://images.forbes.com/media/lists/companies/obayashi_416x416.jpg"
"982","latam-airlines",NA,8936,9727,11148,8241,4796,3856,7965,8615,6528,2289,"Transportation","Chile","http://images.forbes.com/media/lists/companies/latam-airlines_416x416.jpg"
"983","nuernberger-beteiligungs",NA,971,862,911,1149,1001,831,837,965,922,860,"Insurance","Germany","http://images.forbes.com/media/lists/companies/nuernberger-beteiligungs_416x416.jpg"
"984","umicore",NA,5510,6420,5925,5611,4647,5801,6048,13865,11776,10393,"Materials","Belgium","http://images.forbes.com/media/lists/companies/umicore_416x416.jpg"
"985","wistron",NA,3187,3305,2483,1965,2114,1444,2336,2075,2348,2699,"Technology Hardware & Equipment","Taiwan","http://images.forbes.com/media/lists/companies/wistron_416x416.jpg"
"986","bank-negara-indonesia",NA,7971,7762,8984,8490,10350,6917,9064,11062,13081,5140,"Banking","Indonesia","http://images.forbes.com/media/lists/companies/bank-negara-indonesia_416x416.jpg"
"987","amcor",NA,8473,9017,11859,11513,13088,13644,13280,12132,12726,14388,"Materials","United Kingdom","http://images.forbes.com/media/lists/companies/amcor_416x416.jpg"
"988","kerry-group",NA,6559,7953,9845,13510,12375,16052,14212,18739,19232,20257,"Food, Drink & Tobacco","Ireland","http://images.forbes.com/media/lists/companies/kerry-group_416x416.jpg"
"989","red-electrica",NA,7230,6379,7476,10996,11335,11751,10742,11128,11118,9479,"Utilities","Spain","http://images.forbes.com/media/lists/companies/red-electrica_416x416.jpg"
"990","host-hotels-resorts",NA,11921,11275,12884,15559,15397,11463,13528,15368,13993,8689,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/host-hotels-resorts_416x416.jpg"
"991","charter-communications",NA,5585,6432,9115,13575,21656,22252,101619,64782,80848,103986,"Media","United States","http://images.forbes.com/media/lists/companies/charter-communications_416x416.jpg"
"992","ryanair-holdings",NA,6906,8236,10738,14683,16542,18734,19570,21308,16095,12407,"Transportation","Ireland","http://images.forbes.com/media/lists/companies/ryanair-holdings_416x416.jpg"
"993","celanese",NA,6241,7415,7508,8737,8797,10657,12976,14679,13448,9821,"Chemicals","United States","http://images.forbes.com/media/lists/companies/celanese_416x416.jpg"
"994","magnit",NA,11749,11664,18798,22352,20386,14578,15614,8097,5726,5085,"Food Markets","Russia","http://images.forbes.com/media/lists/companies/magnit_416x416.jpg"
"995","nippon-express",NA,4346,4091,5206,5032,5835,4816,4778,7277,5127,4597,"Transportation","Japan","http://images.forbes.com/media/lists/companies/nippon-express_416x416.jpg"
"996","fukuoka-financial-group",NA,3696,3801,4101,3566,4555,3221,3653,4664,4406,2755,"Banking","Japan","http://images.forbes.com/media/lists/companies/fukuoka-financial-group_416x416.jpg"
"997","globe-life",NA,5077,5064,5559,6996,7013,6927,8969,9711,9789,8843,"Insurance","United States","http://images.forbes.com/media/lists/companies/globe-life_416x416.jpg"
"998","emaar-properties",NA,4444,5141,9221,17898,14054,13450,14561,9726,9629,5321,"Construction","United Arab Emirates","http://images.forbes.com/media/lists/companies/emaar-properties_416x416.jpg"
"999","borgwarner",NA,8342,9358,9223,14400,14090,8397,8095,10633,9135,5906,"Consumer Durables","United States","http://images.forbes.com/media/lists/companies/borgwarner_416x416.jpg"
"1000","oreilly-automotive",NA,7906,11336,11549,15886,22009,26164,23204,22085,31313,28666,"Retailing","United States","http://images.forbes.com/media/lists/companies/oreilly-automotive_416x416.jpg"
"1001","hoya",NA,10077,9805,8154,13277,17528,15949,18101,21555,25228,34708,"Technology Hardware & Equipment","Japan","http://images.forbes.com/media/lists/companies/hoya_416x416.jpg"
"1002","arch-capital-group",NA,4069,4965,6870,7669,7766,8645,11534,10815,13126,9809,"Insurance","Bermuda","http://images.forbes.com/media/lists/companies/arch-capital-group_416x416.jpg"
"1003","lenovo-group",NA,5664,9074,10394,11854,16049,9066,7720,5832,11180,6540,"Technology Hardware & Equipment","Hong Kong","http://images.forbes.com/media/lists/companies/lenovo-group_416x416.jpg"
"1004","x5-retail-group",NA,10872,6654,4964,4453,4318,5539,8744,7886,7471,8015,"Food Markets","Netherlands","http://images.forbes.com/media/lists/companies/x5-retail-group_416x416.jpg"
"1005","advanced-info-service",NA,8266,16595,23156,21039,22468,13092,14995,18389,17889,18195,"Telecommunications Services","Thailand","http://images.forbes.com/media/lists/companies/advanced-info-service_416x416.jpg"
"1006","banque-cantonale-vaudoise",NA,4670,4533,4844,5037,5080,6077,5863,6853,6813,7584,"Banking","Switzerland","http://images.forbes.com/media/lists/companies/banque-cantonale-vaudoise_416x416.jpg"
"1007","metro-inc",NA,4685,5229,5960,5210,7269,7953,7008,7298,9441,10482,"Food Markets","Canada","http://images.forbes.com/media/lists/companies/metro-inc_416x416.jpg"
"1008","hesteel",NA,4017,5207,4102,3319,8495,5250,7404,5498,5590,3005,"Materials","China","http://images.forbes.com/media/lists/companies/hesteel_416x416.jpg"
"1009","ihi",NA,3639,3725,4539,6211,6829,3600,5116,5595,3643,1877,"Capital Goods","Japan","http://images.forbes.com/media/lists/companies/ihi_416x416.jpg"
"1010","lendlease-group",NA,4730,4300,5813,6048,7548,5606,6628,7883,5133,4538,"Construction","Australia","http://images.forbes.com/media/lists/companies/lendlease-group_416x416.jpg"
"1011","china-eastern-airlines",NA,9151,6302,5677,4759,12711,10929,12940,15518,14880.3,6824,"Transportation","China","http://images.forbes.com/media/lists/companies/china-eastern-airlines_416x416.jpg"
"1012","steinhoff-international",NA,5302,6205,5047,10532,22254,22799,21094,574,544,251,"Consumer Durables","Netherlands","http://images.forbes.com/media/lists/companies/steinhoff-international_416x416.jpg"
"1013","el-puerto-de-liverpool",NA,10046,11015,15542,14260,16239,15928,11780,8248,8545,3422,"Retailing","Mexico","http://images.forbes.com/media/lists/companies/el-puerto-de-liverpool_416x416.jpg"
"1014","vestas-wind-systems",NA,6741,2291,1639,9420,9769,14742,17470,13566,17925,16813,"Capital Goods","Denmark","http://images.forbes.com/media/lists/companies/vestas-wind-systems_416x416.jpg"
"1015","wendel",NA,4766,4635,5443,7682,5941,5366,5822,6985,6118,3740,"Diversified Financials","France","http://images.forbes.com/media/lists/companies/wendel_416x416.jpg"
"1016","eastman-chemical",NA,6660,7124,11173,13133,10351,11323,11716,15237,11662,8223,"Chemicals","United States","http://images.forbes.com/media/lists/companies/eastman-chemical_416x416.jpg"
"1017","charoen-pokphand-foods",NA,6000,9452,9046,6703,5362,5635,6269,6344,4613,4758,"Food, Drink & Tobacco","Thailand","http://images.forbes.com/media/lists/companies/charoen-pokphand-foods_416x416.jpg"
"1018","cincinnati-financial",NA,5392,5767,7668,7820,8863,10616,11577,11799,14127,10581,"Insurance","United States","http://images.forbes.com/media/lists/companies/cincinnati-financial_416x416.jpg"
"1019","givaudan",NA,9012,8573,11901,14261,16853,18070,16626,21055,23337,30878,"Household & Personal Products","Switzerland","http://images.forbes.com/media/lists/companies/givaudan_416x416.jpg"
"1020","yamaguchi-financial",NA,2535,2398,2530,2281,2974,2548,2606,3181,1951,1381,"Banking","Japan","http://images.forbes.com/media/lists/companies/yamaguchi-financial_416x416.jpg"
"1021","paychex",NA,12012,11536,12363,15459,17874,18824,20905,22756,29323,24579,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/paychex_416x416.jpg"
"1022","dollar-tree",NA,6692,11103,10051,10821,16662,19038,18339,22283,25886,18900,"Retailing","United States","http://images.forbes.com/media/lists/companies/dollar-tree_416x416.jpg"
"1023","next",NA,5472,7775,9978,17228,16117,10815,7331,10625,10315,7600,"Retailing","United Kingdom","http://images.forbes.com/media/lists/companies/next_416x416.jpg"
"1024","crown-holdings",NA,6069,5602,5797,6254,7665,7545,7360,6001,7637,8673,"Materials","United States","http://images.forbes.com/media/lists/companies/crown-holdings_416x416.jpg"
"1025","cattolica-assicurazioni",NA,1418,1115,1021,1465,1561,1189,1386,1700,1609,922,"Insurance","Italy","http://images.forbes.com/media/lists/companies/cattolica-assicurazioni_416x416.jpg"
"1026","alfresa-holdings",NA,1991,2305,2735,3773,3100,4633,3981,4923,5541,4272,"Drugs & Biotechnology","Japan","http://images.forbes.com/media/lists/companies/alfresa-holdings_416x416.jpg"
"1027","brambles",NA,9790,11031,14094,13395,13831,15329,11183,11831,13537,11033,"Business Services & Supplies","Australia","http://images.forbes.com/media/lists/companies/brambles_416x416.jpg"
"1028","johnson-matthey",NA,6199,8153,7523,11198,10396,8075,7264,9088,8651,4864,"Chemicals","United Kingdom","http://images.forbes.com/media/lists/companies/johnson-matthey_416x416.jpg"
"1029","amphenol",NA,9902,9429,11561,14589,18292,17520,21466,26520,31158,26116,"Technology Hardware & Equipment","United States","http://images.forbes.com/media/lists/companies/amphenol_416x416.jpg"
"1030","keyence",NA,14131,14021,18321,25472,33486,36511,48341,75836,78654,87930,"Technology Hardware & Equipment","Japan","http://images.forbes.com/media/lists/companies/keyence_416x416.jpg"
"1031","mitsui-chemicals",NA,3405,3186,2265,2456,3315,3519,4754,5850,4931,3879,"Chemicals","Japan","http://images.forbes.com/media/lists/companies/mitsui-chemicals_416x416.jpg"
"1032","empire",NA,3626,3797,4239,5575,6869,4513,4096,5232,6043,5954,"Food Markets","Canada","http://images.forbes.com/media/lists/companies/empire_416x416.jpg"
"1033","uni-president",NA,5514,6498,9541,8789,9280,10288,10428,13365,13100,13280,"Food, Drink & Tobacco","Taiwan","http://images.forbes.com/media/lists/companies/uni-president_416x416.jpg"
"1034","henry-schein",NA,6202,6847,7896,10246,11762,14033,13269,11235,9192,7789,"Health Care Equipment & Services","United States","http://images.forbes.com/media/lists/companies/henry-schein_416x416.jpg"
"1035","lg-uplus",NA,2147,3036,3466,4310,4326,4144,5696,5185,5530,4784,"Telecommunications Services","South Korea","http://images.forbes.com/media/lists/companies/lg-uplus_416x416.jpg"
"1036","commercial-bank-of-qatar",NA,4672,5002,4527,5268,5024,3449,3353,4022,5279,4446,"Banking","Qatar","http://images.forbes.com/media/lists/companies/commercial-bank-of-qatar_416x416.jpg"
"1037","xilinx",NA,8440,9759,10057,14672,10978,11722,14060,17633,34164,21748,"Semiconductors","United States","http://images.forbes.com/media/lists/companies/xilinx_416x416.jpg"
"1038","boston-properties",NA,13226,15709,15960,17704,21809,19876,20719,19200,20549,15094,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/boston-properties_416x416.jpg"
"1039","frontier-communications",NA,7871,4309,4078,5597,7337,6599,2417,724,270,9,"Telecommunications Services","United States","http://images.forbes.com/media/lists/companies/frontier-communications_416x416.jpg"
"1040","idbi-bank",NA,2933,2106,2106,1722,1860,2243,2414,3075,4842,2972,"Banking","India","http://images.forbes.com/media/lists/companies/idbi-bank_416x416.jpg"
"1041","sm-investments",NA,7129,9022,16579,12756,16655,16446,17750,21183,21639,20189,"Retailing","Philippines","http://images.forbes.com/media/lists/companies/sm-investments_416x416.jpg"
"1042","check-point-software",NA,10188,12817,10315,13109,15226,14998,18043,15940,18744,15382,"IT Software & Services","Israel","http://images.forbes.com/media/lists/companies/check-point-software_416x416.jpg"
"1043","first-financial-holding",NA,5342,4708,5128,5491,5530,5569,7314,8457,8542,9241,"Banking","Taiwan","http://images.forbes.com/media/lists/companies/first-financial-holding_416x416.jpg"
"1044","taishin-financial-holdings",NA,3592,2654,2830,3578,3778,3264,3902,4901,4806,4571,"Diversified Financials","Taiwan","http://images.forbes.com/media/lists/companies/taishin-financial-holdings_416x416.jpg"
"1045","intuitive-surgical",NA,12648,20843,18436,18922,18946,24288,28172,53062,60918,59578,"Health Care Equipment & Services","United States","http://images.forbes.com/media/lists/companies/intuitive-surgical_416x416.jpg"
"1046","brown-forman",NA,10016,11397,14707,19127,19424,19259,17572,27343,25212,29740,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/brown-forman_416x416.jpg"
"1047","quinenco",NA,3746,4319,4562,3530,3538,3227,4301,5406,4541,2427,"Conglomerates","Chile","http://images.forbes.com/media/lists/companies/quinenco_416x416.jpg"
"1048","ktg",NA,6449,9097,8435,10280,11389,14811,11215,11808,11327,8425,"Food, Drink & Tobacco","South Korea","http://images.forbes.com/media/lists/companies/ktg_416x416.jpg"
"1049","jacobs",NA,6203,6025,7001,8414,5806,5363,6600,9011,10733,11010,"Construction","United States","http://images.forbes.com/media/lists/companies/jacobs_416x416.jpg"
"1050","jiangsu-yanghe-brewery",NA,15530,22782,12410,9001,14613,15513,18646,30927,27418,20961,"Food, Drink & Tobacco","China","http://images.forbes.com/media/lists/companies/jiangsu-yanghe-brewery_416x416.jpg"
"1051","suzuken",NA,2528,2831,3119,3477,3125,3642,3223,4242,5156,3541,"Drugs & Biotechnology","Japan","http://images.forbes.com/media/lists/companies/suzuken_416x416.jpg"
"1052","taiwan-cooperative-financial",NA,4623,4052,4486,4596,5196,4901,5939,7114,8090,8751,"Banking","Taiwan","http://images.forbes.com/media/lists/companies/taiwan-cooperative-financial_416x416.jpg"
"1053","china-merchants-port-holdings",NA,10402,8745,8558,8338,10154,7790,7570,7466,6935,4449,"Transportation","Hong Kong","http://images.forbes.com/media/lists/companies/china-merchants-port-holdings_416x416.jpg"
"1054","korean-air",NA,3688,3535,2563,2123,3558,1970,2580,3060,2996,1559,"Transportation","South Korea","http://images.forbes.com/media/lists/companies/korean-air_416x416.jpg"
"1055","fortis-canada",NA,5753,6207,6888,6119,8657,8700,13622,13907,16077,18027,"Utilities","Canada","http://images.forbes.com/media/lists/companies/fortis-canada_416x416.jpg"
"1056","bank-audi",NA,2396,2132,2361,2242,2695,2336,2758,2299,1953,764,"Banking","Lebanon","http://images.forbes.com/media/lists/companies/bank-audi_416x416.jpg"
"1057","manpower",NA,5183,3726,4475,6502,6791,5852,6598,6320,5826,4356,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/manpower_416x416.jpg"
"1058","agl-energy",NA,6456,7209,9505,7759,7803,9524,13804,10867,10220,6986,"Utilities","Australia","http://images.forbes.com/media/lists/companies/agl-energy_416x416.jpg"
"1059","rite-aid",NA,1077,1797,1735,6176,8679,8414,4847,1718,525,784,"Retailing","United States","http://images.forbes.com/media/lists/companies/rite-aid_416x416.jpg"
"1060","far-eastern-new-century",NA,6767,5635,5423,5579,5369,4117,4544,5099,5519,4680,"Capital Goods","Taiwan","http://images.forbes.com/media/lists/companies/far-eastern-new-century_416x416.jpg"
"1061","hua-nan-financial",NA,4765,4869,5008,5173,5432,4814,5806,6626,7187,7962,"Diversified Financials","Taiwan","http://images.forbes.com/media/lists/companies/hua-nan-financial_416x416.jpg"
"1062","air-canada",NA,800,257,741,1433,2735,1849,2695,5078,6564,3802,"Transportation","Canada","http://images.forbes.com/media/lists/companies/air-canada_416x416.jpg"
"1063","qatar-islamic-bank",NA,5008,5023,4648,4861,6431,6513,6619,6660,10921,10053,"Banking","Qatar","http://images.forbes.com/media/lists/companies/qatar-islamic-bank_416x416.jpg"
"1064","israel-discount-bank",NA,1995,1426,1885,1959,1873,1807,2794,3342,4346,3813,"Banking","Israel","http://images.forbes.com/media/lists/companies/israel-discount-bank_416x416.jpg"
"1065","kotak-mahindra-bank",NA,6839,7956,9165,9876,17363,18639,25066,35838,37893,34568,"Diversified Financials","India","http://images.forbes.com/media/lists/companies/kotak-mahindra-bank_416x416.jpg"
"1066","central-bank-of-india",NA,1385,1332,1004,1120,2548,2048,3035,2743,1645,1187,"Banking","India","http://images.forbes.com/media/lists/companies/central-bank-of-india_416x416.jpg"
"1067","indian-bank",NA,2053,2036,1416,876,1266,726,2024,2270,1838,422,"Banking","India","http://images.forbes.com/media/lists/companies/indian-bank_416x416.jpg"
"1068","want-want-china",NA,10976,14936,19773,20269,15264,10658,9051,11419,9854,8904,"Food, Drink & Tobacco","China","http://images.forbes.com/media/lists/companies/want-want-china_416x416.jpg"
"1069","london-stock-exchange",NA,3677,4356,5681,9020,12890,13658,14036,20897,22423,33004,"Diversified Financials","United Kingdom","http://images.forbes.com/media/lists/companies/london-stock-exchange_416x416.jpg"
"1070","jabil-circuit",NA,4462,5619,3891,3735,4500,3434,5235,4730,4761,4286,"Technology Hardware & Equipment","United States","http://images.forbes.com/media/lists/companies/jabil-circuit_416x416.jpg"
"1071","prologis",NA,8813,16183,17952,20424,23125,23576,28374,34836,46401,65949,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/prologis_416x416.jpg"
"1072","bausch-health-companies",NA,12116,16425,21225,44623,67531,12276,3333,7273,8119,6403,"Drugs & Biotechnology","Canada","http://images.forbes.com/media/lists/companies/bausch-health-companies_416x416.jpg"
"1073","china-longyuan-power",NA,6671,6539,7246,8184,8894,5885,6361,7146,5501,4012,"Utilities","China","http://images.forbes.com/media/lists/companies/china-longyuan-power_416x416.jpg"
"1074","autonation",NA,4991,4583,5375,6526,7375,5102,4051,4181,3407,3332,"Retailing","United States","http://images.forbes.com/media/lists/companies/autonation_416x416.jpg"
"1075","kla",NA,7714,8668,8748,11664,9457,11192,15131,17313,20327,25725,"Semiconductors","United States","http://images.forbes.com/media/lists/companies/kla_416x416.jpg"
"1076","hokuhoku-financial-group",NA,2989,2784,2585,2535,3051,1923,2003,1966,1388,1077,"Banking","Japan","http://images.forbes.com/media/lists/companies/hokuhoku-financial-group_416x416.jpg"
"1077","sinopharm-group",NA,8302,6562,8034,7118,11243,12468,12696,11747,11103,8448,"Drugs & Biotechnology","China","http://images.forbes.com/media/lists/companies/sinopharm-group_416x416.jpg"
"1078","dubai-islamic-bank",NA,2202,2295,2181,6758,6932,6606,7804,6593,9184,7221,"Banking","United Arab Emirates","http://images.forbes.com/media/lists/companies/dubai-islamic-bank_416x416.jpg"
"1079","wynn-resorts",NA,15427,12764,12115,22993,13271,9768,11907,21245,15332,9226,"Hotels, Restaurants & Leisure","United States","http://images.forbes.com/media/lists/companies/wynn-resorts_416x416.jpg"
"1080","advance-auto-parts",NA,5252,6421,5861,9280,10661,11648,10486,8876,12571,8354,"Retailing","United States","http://images.forbes.com/media/lists/companies/advance-auto-parts_416x416.jpg"
"1081","chang-hwa-bank",NA,4692,4009,4302,4605,4657,4424,5474,5440,5793,6582,"Banking","Taiwan","http://images.forbes.com/media/lists/companies/chang-hwa-bank_416x416.jpg"
"1082","crown-castle-international",NA,11458,14858,20518,24975,28350,29621,34148,42980,50978,66442,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/crown-castle-international_416x416.jpg"
"1083","moodys",NA,7423,9496,11540,17290,21197,19251,21639,33400,35696,45660,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/moodys_416x416.jpg"
"1084","mondi",NA,4618,4727,6393,8409,9479,8985,11721,13148,10901,8621,"Materials","United Kingdom","http://images.forbes.com/media/lists/companies/mondi_416x416.jpg"
"1085","tech-data",NA,2293,2229,1897,2354,2120,2507,3433,3133,3888,4993,"Trading Companies","United States","http://images.forbes.com/media/lists/companies/tech-data_416x416.jpg"
"1086","geberit",NA,8293,8416,9426,12493,14471,13541,15220,16405,15146,16158,"Construction","Switzerland","http://images.forbes.com/media/lists/companies/geberit_416x416.jpg"
"1087","blom-bank",NA,1956,1677,1716,1937,2029,2150,2580,2271,1752,670,"Banking","Lebanon","http://images.forbes.com/media/lists/companies/blom-bank_416x416.jpg"
"1088","gudang-garam",NA,8714,11486,9765,8657,7735,9768,9850,9683,10838,5860,"Food, Drink & Tobacco","Indonesia","http://images.forbes.com/media/lists/companies/gudang-garam_416x416.jpg"
"1089","bankinter",NA,3019,2976,3322,7351,7160,6859,7609,9773,7424,3705,"Banking","Spain","http://images.forbes.com/media/lists/companies/bankinter_416x416.jpg"
"1090","bank-of-kyoto",NA,3386,3391,3505,3130,4024,2780,2716,4453,3233,2621,"Banking","Japan","http://images.forbes.com/media/lists/companies/bank-of-kyoto_416x416.jpg"
"1091","bank-of-ningbo",NA,5694,4420,4943,4140,9621,8096,10294,14534,17960,20791,"Banking","China","http://images.forbes.com/media/lists/companies/bank-of-ningbo_416x416.jpg"
"1092","shenzhen-overseas",NA,6901,6316,6729,5483,11243,8568,8933,10555,10327,7557,"Business Services & Supplies","China","http://images.forbes.com/media/lists/companies/shenzhen-overseas_416x416.jpg"
"1093","smurfit-kappa-group",NA,2540,2101,3656,5829,7034,6243,6029,10018,7330,7497,"Materials","Ireland","http://images.forbes.com/media/lists/companies/smurfit-kappa-group_416x416.jpg"
"1094","jtekt",NA,4890,4180,3340,5077,5181,4898,5265,5428,4509,2553,"Materials","Japan","http://images.forbes.com/media/lists/companies/jtekt_416x416.jpg"
"1095","hiroshima-bank",NA,2656,2855,2860,2601,3438,2460,2555,2410,1603,1308,"Banking","Japan","http://images.forbes.com/media/lists/companies/hiroshima-bank_416x416.jpg"
"1096","tokyo-electron",NA,11096,10253,8507,10953,12436,11668,18053,32884,26002,33364,"Semiconductors","Japan","http://images.forbes.com/media/lists/companies/tokyo-electron_416x416.jpg"
"1097","tsim-sha-tsui-properties",NA,4466,3927,3858,3780,4511,4618,5203,5870,6151,6103,"Construction","Hong Kong","http://images.forbes.com/media/lists/companies/tsim-sha-tsui-properties_416x416.jpg"
"1098","gunma-bank",NA,2819,2601,2699,2532,3100,1982,2251,2623,1705,1325,"Banking","Japan","http://images.forbes.com/media/lists/companies/gunma-bank_416x416.jpg"
"1099","hachijuni-bank",NA,3130,3011,2869,2854,3607,2398,2726,2529,2083,1762,"Banking","Japan","http://images.forbes.com/media/lists/companies/hachijuni-bank_416x416.jpg"
"1100","chugoku-bank",NA,2645,3113,3184,2603,2945,2226,2746,2256,1875,1750,"Banking","Japan","http://images.forbes.com/media/lists/companies/chugoku-bank_416x416.jpg"
"1101","77-bank",NA,2244,1704,2009,1672,2133,1417,1565,1840,1044,998,"Banking","Japan","http://images.forbes.com/media/lists/companies/77-bank_416x416.jpg"
"1102","shimao-property-holdings",NA,4639,3720,5880,7646,7265,4871,5649,9238,10164,13930,"Construction","Hong Kong","http://images.forbes.com/media/lists/companies/shimao-property-holdings_416x416.jpg"
"1103","hong-leong-financial",NA,3027,4118,4830,5081,4899,4468,4197,5494,5236,3460,"Business Services & Supplies","Malaysia","http://images.forbes.com/media/lists/companies/hong-leong-financial_416x416.jpg"
"1104","db-insurance",NA,2702,3012,2537,3715,2853,4453,4110,4072,3836,2294,"Insurance","South Korea","http://images.forbes.com/media/lists/companies/db-insurance_416x416.jpg"
"1105","gd-power-development",NA,7025,6306,8012,6551,14119,9019,9457,8934,8235,5545,"Utilities","China","http://images.forbes.com/media/lists/companies/gd-power-development_416x416.jpg"
"1106","japan-securities",NA,655,588,707,616,616,411,514,593,481,438,"Business Services & Supplies","Japan","http://images.forbes.com/media/lists/companies/japan-securities_416x416.jpg"
"1107","zions-bancorp",NA,4273,4103,4708,5772,5466,5580,8405,11395,8805,5179,"Banking","United States","http://images.forbes.com/media/lists/companies/zions-bancorp_416x416.jpg"
