"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"46","siemens",NA,110200,91995,91923,114247,97671,91812,109773,112503,96998,75384,"Conglomerates","Germany","http://images.forbes.com/media/lists/companies/siemens_416x416.jpg"
"47","banco-bradesco",NA,63283,65294,71571,58498,51372,41505,53511,61340,70702,31256,"Banking","Brazil","http://images.forbes.com/media/lists/companies/banco-bradesco_416x416.jpg"
"48","apple",NA,324281,545968,416622,483146,741782,585951,752039,926946,961257,1285516,"Technology Hardware & Equipment","United States","http://images.forbes.com/media/lists/companies/apple_416x416.jpg"
"49","axa-group",NA,46394,40616,45324,63369,64247,61857,60770,64058,63602,42333,"Insurance","France","http://images.forbes.com/media/lists/companies/axa-group_416x416.jpg"
"50","nippon-tel-tel",NA,70348,60816,58229,60960,71531,94540,92230,96119,80173,83049,"Telecommunications Services","Japan","http://images.forbes.com/media/lists/companies/nippon-tel-tel_416x416.jpg"
"51","microsoft",NA,215773,273539,234828,343816,340826,407015,507544,750649,946521,1359028,"IT Software & Services","United States","http://images.forbes.com/media/lists/companies/microsoft_416x416.jpg"
"52","banco-do-brasil",NA,48486,45891,37949,28287,23599,17022,29044,27832,34467,14674,"Banking","Brazil","http://images.forbes.com/media/lists/companies/banco-do-brasil_416x416.jpg"
"53","mitsubishi-ufj-financial",NA,74497,74510,85697,77659,90923,73516,83858,86166,65008,51802,"Banking","Japan","http://images.forbes.com/media/lists/companies/mitsubishi-ufj-financial_416x416.jpg"
"54","vale",NA,162498,126842,92694,71449,29042,26036,45403,77407,68274,42512,"Materials","Brazil","http://images.forbes.com/media/lists/companies/vale_416x416.jpg"
"55","ford-motor",NA,54320,47547,51801,64505,63598,54196,44718,44593,38101,20244,"Consumer Durables","United States","http://images.forbes.com/media/lists/companies/ford-motor_416x416.jpg"
"56","enel",NA,54007,35422,32166,53183,44557,44569,47494,61566,63137,69410,"Utilities","Italy","http://images.forbes.com/media/lists/companies/enel_416x416.jpg"
"57","toyota-motor",NA,137786,147937,167168,193542,239045,176960,171850,200682,176602,173300,"Consumer Durables","Japan","http://images.forbes.com/media/lists/companies/toyota-motor_416x416.jpg"
"58","johnson-johnson",NA,163265,178760,221361,277006,275720,312575,338644,341277,366184,395294,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/johnson-johnson_416x416.jpg"
"59","rio-tinto",NA,131638,110184,98481,103820,76526,62821,72901,99306,99964,75514,"Materials","United Kingdom","http://images.forbes.com/media/lists/companies/rio-tinto_416x416.jpg"
"60","credit-suisse-group",NA,50657,36235,37060,52264,44379,30280,30142,43717,34414,22026,"Banking","Switzerland","http://images.forbes.com/media/lists/companies/credit-suisse-group_416x416.jpg"
"61","equinor",NA,83788,88974,78054,89225,58041,53617,56240,90211,77551,46392,"Oil & Gas Operations","Norway","http://images.forbes.com/media/lists/companies/equinor_416x416.jpg"
"62","general-motors",NA,49834,40037,38547,54593,59036,49552,50792,51994,56802,31926,"Consumer Durables","United States","http://images.forbes.com/media/lists/companies/general-motors_416x416.jpg"
"63","deutsche-bank",NA,59594,47342,41258,46465,49717,26385,34005,28724,18074,15328,"Banking","Germany","http://images.forbes.com/media/lists/companies/deutsche-bank_416x416.jpg"
"64","novartis",NA,125218,150369,169282,227436,272634,203776,193163,202983,175649,193047,"Drugs & Biotechnology","Switzerland","http://images.forbes.com/media/lists/companies/novartis_416x416.jpg"
"65","verizon-communications",NA,101349,112202,137289,197739,202490,206244,198352,200893,239705,237728,"Telecommunications Services","United States","http://images.forbes.com/media/lists/companies/verizon-communications_416x416.jpg"
"66","westpac-banking",NA,69288,67476,98865,99003,94152,80587,86067,76241,66036,38426,"Banking","Australia","http://images.forbes.com/media/lists/companies/westpac-banking_416x416.jpg"
"67","bbva-banco-bilbao-vizcaya",NA,52269,43056,54653,71030,66117,46875,49646,54477,41641,21774,"Banking","Spain","http://images.forbes.com/media/lists/companies/bbva-banco-bilbao-vizcaya_416x416.jpg"
"68","bhp-group",NA,231481,187531,184746,182321,119547,80324,98308,133205,138278,107099,"Materials","Australia","http://images.forbes.com/media/lists/companies/bhp-group_416x416.jpg"
"69","china-life-insurance",NA,96636,76465,79949,79798,160495,55652,98104,104055,114154,60304,"Insurance","China","http://images.forbes.com/media/lists/companies/china-life-insurance_416x416.jpg"
"70","rbc",NA,87194,84398,87179,95702,89306,90722,107205,113418,114929,87711,"Banking","Canada","http://images.forbes.com/media/lists/companies/rbc_416x416.jpg"
"71","commonwealth-bank",NA,79224,81594,117534,114546,117070,99171,109902,93505,92822,72623,"Banking","Australia","http://images.forbes.com/media/lists/companies/commonwealth-bank_416x416.jpg"
"72","lukoil",NA,59184,55328,55376,47654,43504,36810,44570,60435,61103,41168,"Oil & Gas Operations","Russia","http://images.forbes.com/media/lists/companies/lukoil_416x416.jpg"
"73","bmw-group",NA,51009,61244,59959,83366,81445,60382,57732,72348,57486,38931,"Consumer Durables","Germany","http://images.forbes.com/media/lists/companies/bmw-group_416x416.jpg"
